Gene name,Accession
ATG9,Q12142
ATH1,P48016
ATM1,P40416
ATO2,P32907
ATO3,Q12359
ATP1,P07251
ATP10,P18496
ATP11,P32453
ATP12,P22135
ATP14,Q12349
ATP15,P21306
ATP16,Q12165
ATP17,Q06405
ATP18,P81450
ATP19,P81451
ATP2,P00830
ATP20,Q12233
ATP22,P50273
ATP23,P53722
ATP25,Q03153
ATP3,P38077
ATP4,P05626
ATP5,P09457
ATP6,P00854
ATP7,P30902
ATP8,P00856
ATR1,P13090
ATS1,P31386
ATX1,P38636
ATX2,Q12067
AUA1,P32450
AUR1,P36107
AUS1,Q08409
AVL9,Q12500
AVO1,Q08236
AVO2,Q04749
AVT1,P47082
AVT2,P39981
AVT3,P36062
AVT4,P50944
AVT5,P38176
AVT6,P40074
AVT7,P40501
AXL1,P40851
AXL2,P38928
AYR1,P40471
AYT1,Q12226
AZF1,P41696
AZR1,P50080
BAG7,Q12128
BAP2,P38084
BAP3,P41815
BAR1,P12630
BAS1,P22035
BAT1,P38891
BAT2,P47176
BBC1,P47068
BBP1,Q12365
BCD1,P38772
BCH1,Q05029
BCH2,P36122
BCK1,Q01389
BCK2,P33306
BCP1,Q06338
BCS1,P32839
BCY1,P07278
BDF1,P35817
BDF2,Q07442
BDH1,P39714
BDH2,P39713
BDP1,P46678
BDS1,Q08347
BEM1,P29366
BEM2,P39960
BEM3,P32873
BEM4,P39011
BER1,Q06688
BET1,P22804
BET2,P20133
BET3,P36149
BET4,Q00618
BET5,Q03630
BFA1,P47113
BFR1,P38934
BFR2,Q06631
BGL2,P15703
BI2,P03873
BI3,Q9ZZW7
BI4,P03879
BIG1,P38813
BIK1,P11709
BIM1,P40013
BIO2,P32451
BIO3,P50277
BIO4,P53630
BIO5,P53744
BIR1,P47134
BIT2,P38346
BIT61,P47041
BLI1,P35727
BLM10,P43583
BLS1,Q06071
BMH1,P29311
BMH2,P34730
BMS1,Q08965
BMT2,P38278
BMT5,P40493
BMT6,Q12291
BNA1,P47096
BNA2,P47125
BNA3,P47039
BNA4,P38169
BNA5,Q05979
BNA6,P43619
BNA7,Q04066
BNI1,P41832
BNI4,P53858
BNI5,P53890
BNR1,P40450
BNS1,P50084
BOI1,P38041
BOI2,P39969
BOL1,Q3E793
BOL2,P53082
BOL3,P39724
BOP2,Q06150
BOP3,P53958
BOR1,P53838
BOS1,P25385
BPH1,P25356
BPL1,P48445
BPT1,P14772
BRE1,Q07457
BRE2,P43132
BRE4,Q07660
BRE5,P53741
BRF1,P29056
BRL1,P38770
BRN1,P38170
BRO1,P48582
BRP1,P53194
BRR1,Q99177
BRR2,P32639
BRR6,P53062
BRX1,Q08235
BSC1,Q12140
BSC2,Q05611
BSC3,O13558
BSC4,P53841
BSC5,P53755
BSC6,Q08280
BSD2,P38356
BSP1,Q06604
BST1,P43571
BTN2,P53286
BTS1,Q12051
BTT1,P40314
BUB1,P41695
BUB2,P26448
BUB3,P26449
BUD13,P46947
BUD14,P27637
BUD16,P39988
BUD17,P53727
BUD19,O94143
BUD20,Q08004
BUD21,Q08492
BUD22,Q04347
BUD23,P25627
BUD25,P85052
BUD26,Q03783
BUD27,P43573
BUD28,Q07992
BUD2,P33314
BUD3,P25558
BUD30,Q12064
BUD31,P25337
BUD32,P53323
BUD4,P47136
BUD5,P25300
BUD6,P41697
BUD7,Q08754
BUD8,P41698
BUD9,P53226
BUG1,Q12191
BUL1,P48524
BUL2,Q03758
BUR2,Q05949
BUR6,P40096
BXI1,P48558
BYE1,P36106
BZZ1,P38822
CAB1,Q04430
CAB2,P40506
CAB3,P36076
CAB4,P53332
CAB5,Q03941
CAC2,Q04199
CAD1,P24813
CAF120,P53836
CAF130,P53280
CAF16,P43569
CAF20,P12962
CAF4,P36130
CAF40,P53829
CAJ1,P39101
CAK1,P43568
CAM1,P29547
CAN1,P04817
CAP1,P28495
CAP2,P13517
CAR1,P00812
CAR2,P07991
CAT2,P32796
CAT5,P41735
CAT8,P39113
CAX4,P53223
CBC2,Q08920
CBF1,P17106
CBF2,P32504
CBF5,P33322
CBK1,P53894
CBP1,P07252
CBP2,P03874
CBP3,P21560
CBP4,P37267
CBP6,P07253
CBR1,P38626
CBS1,P14066
CBS2,P14905
CBT1,P36038
CCA1,P21269
CCC1,P47818
CCC2,P38995
CCE1,Q03702
CCH1,P50077
CCL1,P37366
CCM1,P48237
CCP1,P00431
CCR4,P31384
CCS1,P40202
CCT2,P39076
CCT3,P39077
CCT4,P39078
CCT5,P40413
CCT6,P39079
CCT7,P42943
CCT8,P47079
CCW12,Q12127
CCW14,O13547
CCW22,Q7LHD1
CCZ1,P38273
CDA1,Q06702
CDA2,Q06703
CDC10,P25342
CDC11,P32458
CDC123,Q05791
CDC12,P32468
CDC13,P32797
CDC14,Q00684
CDC15,P27636
CDC16,P09798
CDC19,P00549
CDC1,P40986
CDC20,P26309
CDC21,P06785
CDC23,P16522
CDC24,P11433
CDC25,P04821
CDC26,P14724
CDC27,P38042
CDC28,P00546
CDC3,P32457
CDC31,P06704
CDC33,P07260
CDC34,P14682
CDC36,P06100
CDC37,P06101
CDC39,P25655
CDC4,P07834
CDC40,P40968
CDC42,P19073
CDC43,P18898
CDC45,Q08032
CDC48,P25694
CDC50,P25656
CDC53,Q12018
CDC55,Q00362
CDC5,P32562
CDC6,P09119
CDC60,P26637
CDC73,Q06697
CDC7,P06243
CDC8,P00572
CDC9,P04819
CDD1,Q06549
CDH1,P53197
CDS1,P38221
CEF1,Q03654
CEG1,Q01159
CEM1,P39525
CEP3,P40969
CET1,O13297
CEX1,Q12453
CFD1,P40558
CFT1,Q06632
CFT2,Q12102
CGI121,Q03705
CGR1,P53188
CHA1,P25379
CHA4,P43634
CHC1,P22137
CHD1,P32657
CHK1,P38147
CHL1,P22516
CHL4,P38907
CHO1,P08456
CHO2,P05374
CHS1,P08004
CHS2,P14180
CHS3,P29465
