Gene name,Accession
GLC7,P32598
GLC8,P41818
GLD1,Q06104
GLE1,Q12315
GLE2,P40066
GLG1,P36143
GLG2,P47011
GLK1,P17709
GLN1,P32288
GLN3,P18494
GLN4,P13188
GLO1,P50107
GLO2,Q05584
GLO3,P38682
GLO4,Q12320
GLR1,P41921
GLT1,Q12680
GLY1,P37303
GMC1,Q04399
GMC2,Q06201
GMH1,P36125
GNA1,P43577
GND1,P38720
GND2,P53319
GNP1,P48813
GNT1,Q12096
GON7,P46984
GOR1,P53839
GOS1,P38736
GOT1,Q03554
GPA1,P08539
GPA2,P10823
GPB1,Q08886
GPB2,P39717
GPC1,P48236
GPD1,Q00055
GPD2,P41911
GPG1,P53130
GPH1,P06738
GPI1,P53306
GPI10,P30777
GPI11,Q06636
GPI12,P23797
GPI13,Q07830
GPI14,P47088
GPI15,P53961
GPI16,P38875
GPI17,Q04080
GPI18,P38211
GPI19,Q04082
GPI2,P46961
GPI8,P49018
GPM1,P00950
GPM2,Q12008
GPM3,Q12326
GPN2,Q08726
GPN3,Q06543
GPP1,P41277
GPP2,P40106
GPR1,Q12361
GPT2,P36148
GPX1,P36014
GPX2,P38143
GRC3,Q07845
GRE1,Q08969
GRE2,Q12068
GRE3,P38715
GRH1,Q04410
GRR1,P24814
GRS1,P38088
GRS2,Q06817
GRX1,P25373
GRX2,P17695
GRX3,Q03835
GRX4,P32642
GRX5,Q02784
GRX6,Q12438
GRX7,P38068
GRX8,Q05926
GSC2,P40989
GSF2,Q04697
GSH1,P32477
GSH2,Q08220
GSM1,P42950
GSP1,P32835
GSP2,P32836
GSY1,P23337
GSY2,P27472
GTB1,Q04924
GTF1,P53260
GTO1,P48239
GTO3,Q04806
GTR1,Q00582
GTR2,P53290
GTS1,P40956
GTT1,P40582
GTT2,Q12390
GTT3,P39996
GUA1,P38625
GUD1,Q07729
GUF1,P46943
GUK1,P15454
GUP1,P53154
GUP2,Q08929
GUS1,P46655
GUT1,P32190
GUT2,P32191
GVP36,P40531
GWT1,P47026
GYL1,Q04322
GYP1,Q08484
GYP5,Q12344
GYP6,P32806
GYP7,P48365
GYP8,P43570
GZF3,P42944
HAA1,Q12753
HAC1,P41546
HAL1,Q01766
HAL5,P38970
HAL9,Q12180
HAM1,P47119
HAP1,P0CE41
HAP2,P06774
HAP3,P13434
HAP4,P14064
HAP5,Q02516
HAS1,Q03532
HAT1,Q12341
HAT2,P39984
HBN1,Q96VH4
HBS1,P32769
HBT1,Q07653
HCA4,P20448
HCH1,P53834
HCM1,P25364
HCR1,Q05775
HCS1,P34243
HDA1,P53973
HDA2,Q06629
HDA3,Q06623
HED1,Q03937
HEF3,P53978
HEH2,Q03281
HEK2,P38199
HEL1,P36113
HEL2,Q05580
HEM12,P32347
HEM13,P11353
HEM14,P40012
HEM15,P16622
HEM1,P09950
HEM2,P05373
HEM25,Q07534
HEM3,P28789
HEM4,P06174
HER1,Q12276
HER2,Q03557
HES1,P35843
HFA1,P32874
HFD1,Q04458
HFI1,Q12060
HFM1,P51979
HGH1,P48362
HHF1,P02309
HHF2,P02309
HHO1,P53551
HHT1,P61830
HHT2,P61830
HHY1,P39982
HIF1,Q12373
HIM1,Q06674
HIP1,P06775
HIR1,P32479
HIR2,P32480
HIR3,P47171
HIS1,P00498
HIS2,P38635
HIS3,P06633
HIS4,P00815
HIS5,P07172
HIS6,P40545
HIS7,P33734
HIT1,P46973
HKR1,P41809
HLJ1,P48353
HLR1,Q04429
HMF1,P40037
HMG1,P12683
HMG2,P12684
HMI1,Q12039
HMLALPHA1,P0CY07
HMLALPHA2,P0CY09
HMO1,Q03973
HMRA1,P0CY11
HMRA2,P0CY13
HMS1,Q12398
HMS2,P47175
HMT1,P38074
HMX1,P32339
HNM1,P19807
HNT1,Q04344
HNT2,P49775
HNT3,Q08702
HO,P09932
HOC1,P47124
HOF1,Q05080
HOG1,P32485
HOL1,P53389
HOM2,P13663
HOM3,P10869
HOM6,P31116
HOP1,P20050
HOP2,P53187
HOR7,Q05827
HOS1,Q12214
HOS2,P53096
HOS3,Q02959
HOS4,P40480
HOT1,Q03213
HOT13,P36078
HPA2,Q06592
HPA3,P39979
HPC2,Q01448
HPF1,Q05164
HPM1,P40481
HPR1,P17629
HPT1,Q04178
HRB1,P38922
HRD1,Q08109
HRD3,Q05787
HRI1,Q05905
HRK1,Q08732
HRP1,Q99383
HRQ1,Q05549
HRR25,P29295
HRT1,Q08273
HRT3,Q12347
HSC82,P15108
HSE1,P38753
HSF1,P10961
HSH155,P49955
HSH49,Q99181
HSK3,P69852
HSL1,P34244
HSL7,P38274
HSM3,P38348
HSP104,P31539
HSP10,P38910
HSP12,P22943
HSP150,P32478
HSP26,P15992
HSP30,P25619
HSP31,Q04432
HSP32,Q08992
HSP33,Q08914
HSP42,Q12329
HSP60,P19882
HSP78,P33416
HSP82,P02829
HST1,P53685
HST2,P53686
HST3,P53687
HST4,P53688
HSV2,P50079
HTA1,P04911
HTA2,P04912
HTB1,P02293
HTB2,P02294
HTD2,P38790
HTL1,Q9URQ5
HTS1,P07263
HTZ1,Q12692
HUA1,P40325
HUA2,Q12134
HUB1,Q6Q546
HUG1,Q6Q5K6
HUL4,P40985
HUL5,P53119
HUR1,P45820
HUT1,Q12520
HVG1,P0CE11
HXK1,P04806
HXK2,P04807
HXT10,P43581
HXT11,P54862
HXT12,P40441
HXT13,P39924
HXT14,P42833
HXT15,P54854
HXT16,P47185
HXT17,P53631
HXT1,P32465
HXT2,P23585
HXT3,P32466
HXT4,P32467
HXT5,P38695
HXT6,P39003
HXT7,P39004
HXT8,P40886
HXT9,P40885
HYM1,P32464
HYP2,P23301
HYR1,P40581
IAH1,P41734
IBA57,P47158
IBD2,P53892
ICE2,P40499
ICL1,P28240
ICL2,Q12031
ICP55,P40051
ICS2,P38284
ICS3,P47034
ICT1,Q12385
ICY1,Q04329
IDH1,P28834
IDH2,P28241
IDI1,P15496
IDP1,P21954
IDP2,P41939
IDP3,P53982
IDS2,P46958
IES1,P43579
IES2,P40154
IES3,Q12345
IES4,Q08561
IES5,P40060
IES6,P32617
IFA38,P38286
IFH1,P39520
IFM1,P25038
IGD1,P43598
IGO1,P53897
IGO2,Q9P305
IKI1,P38874
IKI3,Q06706
IKS1,P47042
ILM1,P47155
ILS1,P09436
ILV1,P00927
ILV2,P07342
ILV3,P39522
ILV5,P06168
ILV6,P25605
IMA1,P53051
IMA2,Q08295
IMA3,P0CW40
IMA4,P0CW41
IMA5,P40884
IMD1,P39567
IMD2,P38697
IMD3,P50095
IMD4,P50094
IME1,P21190
IME2,P32581
IME4,P41833
IMG1,P25626
IMG2,P25642
IMH1,Q06704
IML1,P47170
IML2,P47031
IML3,P38265
IMO32,P53219
IMP1,P28627
IMP2,P46972
IMP2',P32351
IMP3,P32899
IMP4,P53941
INA17,Q02888
INA22,P40576
INH1,P01097
INM1,P38710
INM2,Q05533
INN1,P53901
INO1,P11986
INO2,P26798
INO4,P13902
INO80,P53115
INP1,Q03694
INP2,Q03824
INP51,P40559
INP52,P50942
INP53,Q12271
INP54,Q08227
IOC2,Q12072
IOC3,P43596
IOC4,Q04213
IPI1,P38803
IPI3,P53877
IPK1,Q06667
IPL1,P38991
IPP1,P00817
IPT1,P38954
IQG1,Q12280
IRA1,P18963
IRA2,P19158
IRC10,Q08118
IRC11,Q12479
IRC13,Q08630
IRC14,Q08522
IRC15,Q02733
IRC16,Q6B0V8
IRC18,P47056
IRC19,Q07843
IRC2,A0A023PXB5
IRC20,Q06554
IRC21,Q04772
IRC22,P40006
IRC23,Q08416
IRC24,P40580
IRC25,Q07951
IRC3,Q06683
IRC4,Q03036
IRC5,P43610
IRC6,P43615
IRC7,P43623
IRC8,P47046
IRC9,P47010
IRE1,P32361
IRR1,P40541
IRS4,P36115
ISA1,Q07821
ISA2,Q12425
ISC1,P40015
ISC10,P32645
ISD11,Q6Q560
ISF1,P32488
ISM1,P48526
ISN1,Q99312
ISR1,Q06098
IST1,P53843
IST2,P38250
IST3,P40565
ISU1,Q03020
ISU2,Q12056
ISW1,P38144
ISW2,Q08773
ISY1,P21374
ITC1,P53125
ITR1,P30605
ITR2,P30606
ITT1,Q04638
IVY1,Q04934
IWR1,Q07532
IXR1,P33417
IZH1,Q03419
IZH2,Q12442
IZH3,Q07959
IZH4,Q99393
JAC1,P53193
JEM1,P40358
JEN1,P36035
JHD1,P40034
JHD2,P47156
JID1,Q12350
JIP3,O13555
JIP4,Q03361
JIP5,Q06214
JJJ1,P53863
JJJ2,P46997
JJJ3,P47138
JLP1,Q12358
JLP2,P40206
JNM1,P36224
JSN1,P47135
KAE1,P36132
KAP104,P38217
KAP114,P53067
KAP120,Q02932
KAP122,P32767
KAP123,P40069
KAP95,Q06142
KAR1,P11927
KAR2,P16474
KAR3,P17119
KAR4,P25583
KAR5,Q04746
KAR9,P32526
KCC4,P25389
KCH1,P47114
KCS1,Q12494
KDX1,P36005
KEG1,P43614
KEI1,Q06346
KEL1,P38853
KEL2,P50090
KEL3,Q08979
KES1,P35844
KEX1,P09620
KEX2,P13134
KGD1,P20967
KGD2,P19262
KHA1,P40309
KIC1,P38692
KIN1,P13185
KIN2,P13186
KIN28,P06242
KIN3,P22209
KIN4,Q01919
KIN82,P25341
KIP1,P28742
KIP2,P28743
KIP3,P53086
KKQ8,P36004
KNH1,P50112
KNS1,P32350
KOG1,P38873
KRE1,P17260
KRE28,Q04431
KRE29,P40026
KRE2,P27809
KRE33,P53914
KRE5,P22023
KRE6,P32486
KRE9,P39005
KRI1,P42846
KRR1,P25586
KRS1,P15180
KSH1,Q8TGJ3
KSP1,P38691
KSS1,P14681
KTI11,Q3E840
KTI12,P34253
KTR1,P27810
KTR2,P33550
KTR3,P38130
KTR4,P38131
KTR5,P53966
KTR6,P54070
KTR7,P40504
KXD1,P53158
LAA1,P39526
LAC1,P28496
LAG1,P38703
LAG2,Q92325
LAM1,P38851
LAM4,P38800
LAM5,P43560
LAM6,Q08001
LAP2,Q10740
LAP3,Q01532
LAS1,P36146
LAS17,Q12446
LAS21,P40367
LAT1,P12695
LCB1,P25045
LCB2,P40970
LCB3,P47013
LCB4,Q12246
LCB5,Q06147
LCD1,Q04377
LCL1,Q02786
LCL2,Q08045
LCL3,P53153
LCP5,P40079
LDB16,P25587
LDB17,Q12342
LDB18,Q07887
LDB19,Q12502
LDB7,P38210
LDH1,P38139
LDS1,P31379
LDS2,Q08218
LEA1,Q08963
LEE1,Q02799
LEM3,P42838
LEO1,P38439
LEU1,P07264
LEU2,P04173
LEU3,P08638
LEU4,P06208
LEU5,P38702
LEU9,Q12166
LGE1,Q02796
LHP1,P33399
LHS1,P36016
LIA1,P47120
LIF1,P53150
LIH1,P47145
LIN1,P38852
LIP1,Q03579
LIP2,Q06005
LIP5,P32875
LMO1,Q07799
LNP1,P38878
LOA1,Q06508
LOC1,P43586
LOH1,P47055
LOS1,P33418
LOT5,P34234
LOT6,Q07923
LPD1,P09624
LPL1,Q08448
LPP1,Q04396
LPX1,Q12405
LRE1,P25579
LRG1,P35688
LRO1,P40345
LRP1,P38801
LRS4,Q04087
LSB1,P53281
LSB3,P43603
LSB5,P25369
LSB6,P42951
LSC1,P53598
LSC2,P53312
LSG1,P53145
LSM12,P38828
LSM1,P47017
LSM2,P38203
LSM3,P57743
LSM4,P40070
LSM5,P40089
LSM6,Q06406
LSM7,P53905
LSM8,P47093
LSO1,Q3E827
LSO2,Q3E772
LSP1,Q12230
LST4,P34239
LST7,P53237
LST8,P41318
LTE1,P07866
LTO1,P53846
LTP1,P40347
LTV1,P34078
LUC7,Q07508
LYP1,P32487
LYS1,P38998
LYS12,P40495
LYS14,P40971
LYS2,P07702
LYS20,P48570
LYS21,Q12122
LYS4,P49367
LYS5,P50113
LYS9,P38999
MAC1,P35192
MAD1,P40957
MAD2,P40958
MAD3,P47074
MAE1,P36013
MAF1,P41910
MAG1,P22134
MAG2,Q06436
MAK10,Q02197
MAK11,P20484
MAK16,P10962
MAK21,Q12176
MAK31,P23059
MAK32,P23060
MAK3,Q03503
MAK5,P38112
MAL11,P53048
MAL12,P53341
MAL13,P53338
MAL31,P38156
MAL32,P38158
MAL33,P38157
MAM1,P40065
MAM3,Q12296
MAM33,P40513
MAN2,P0CX09
MAP1,Q01662
MAP2,P38174
MAS1,P10507
MAS2,P11914
MATALPHA1,P0CY06
MATALPHA2,P0CY08
MBA1,P38300
MBB1,P39534
MBF1,O14467
MBP1,P39678
MBR1,P23493
MCA1,Q08601
MCD1,Q12158
MCD4,P36051
MCH1,Q07376
MCH2,P36032
MCH4,Q08268
MCH5,Q08777
MCK1,P21965
MCM10,P32354
MCM16,Q12262
MCM1,P11746
MCM2,P29469
MCM21,Q06675
MCM22,P47167
MCM3,P24279
MCM4,P30665
MCM5,P29496
MCM6,P53091
MCM7,P38132
MCO6,Q3E828
MCP1,Q12106
MCP2,Q06567
MCR1,P36060
MCT1,Q12283
MCX1,P38323
MCY1,P53206
MDE1,P47095
MDG1,P53885
MDH1,P17505
MDH2,P22133
MDH3,P32419
MDJ1,P35191
MDJ2,P42834
MDL1,P33310
MDL2,P33311
MDM1,Q01846
MDM10,P18409
MDM12,Q92328
MDM20,Q12387
MDM30,Q05930
MDM31,P38880
MDM32,Q12171
MDM34,P53083
MDM35,O60200
MDM36,Q06820
MDM38,Q08179
MDN1,Q12019
MDR1,P53258
MDS3,P53094
MDV1,P47025
MDY2,Q12285
MEC1,P38111
MEC3,Q02574
MED1,Q12321
MED11,Q99278
MED2,Q12124
MED4,Q12343
MED6,P38782
MED7,Q08278
MED8,P38304
MEF1,P25039
MEF2,P39677
MEH1,Q02205
MEI4,P29467
MEI5,P32489
MEK1,P24719
MEP1,P40260
MEP2,P41948
MEP3,P53390
MER1,P16523
MES1,P00958
MET10,P39692
MET12,P46151
MET13,P53128
MET14,Q02196
MET16,P18408
MET17,P06106
MET18,P40469
MET1,P36150
MET2,P08465
MET22,P32179
MET28,P40573
MET3,P08536
MET30,P39014
MET31,Q03081
MET32,Q12041
MET4,P32389
MET5,P47169
MET6,P05694
MET7,Q08645
MET8,P15807
MEU1,Q07938
MEX67,Q99257
MF(ALPHA)1,P01149
MF(ALPHA)2,P32435
MFA1,P34165
MFA2,P34166
MFB1,Q04922
MFG1,Q07684
MFM1,Q02783
MFT1,P33441
MGA1,P53050
MGA2,P40578
MGE1,P38523
MGL2,Q03649
MGM101,P32787
MGM1,P32266
MGR1,P25573
MGR2,Q02889
MGR3,Q04472
MGS1,P40151
MGT1,P26188
MHF1,Q3E835
MHF2,Q3E829
MHO1,P47085
MHP1,P43638
MHR1,Q06630
MHT1,Q12525
MIA40,P36046
MIC10,Q96VH5
MIC12,P38341
MIC19,P43594
MIC26,P50087
MIC27,P50945
MIC60,P36112
MID1,P41821
MID2,P36027
MIF2,P35201
MIG1,P27705
MIG2,P53035
MIG3,P39943
MIH1,P23748
MIL1,P43564
MIM1,Q08176
MIM2,Q3E798
MIP1,P15801
MIP6,P38760
MIR1,P23641
MIS1,P09440
MIT1,P40002
MIX14,Q04341
MIX17,Q03667
MIX23,P38162
MKC7,P53379
MKK1,P32490
MKK2,P32491
MKS1,P34072
MKT1,P40850
MLC1,P53141
MLC2,Q06580
MLF3,P32047
MLH1,P38920
MLH2,Q07980
MLH3,Q12083
MLP1,Q02455
MLP2,P40457
MLS1,P30952
MME1,Q03829
MMF1,P40185
MMM1,P41800
MMP1,Q12372
MMR1,Q06324
MMS1,Q06211
MMS2,P53152
MMS21,P38632
MMS22,Q06164
MMS4,P38257
MMT1,Q03218
MMT2,Q08970
MND1,P53102
MND2,P40577
MNE1,P24720
MNL1,P38888
MNL2,Q12205
MNN1,P39106
MNN10,P50108
MNN11,P46985
MNN2,P38069
MNN4,P36044
MNN5,P46982
MNN9,P39107
MNP1,P53163
MNR2,P35724
MNS1,P32906
MNT2,P53059
MNT3,P40549
MNT4,P53745
MOB1,P40484
MOB2,P43563
MOD5,P07884
MOG1,P47123
MOH1,P38191
MON1,P53129
MON2,P48563
MOT1,P32333
MOT2,P34909
MOT3,P54785
MPA43,P53583
MPC1,P53157
MPC2,P38857
MPC3,P53311
MPC54,Q08550
MPD1,Q12404
MPD2,Q99316
MPE1,P35728
MPH1,P40562
MPH2,P0CD99
MPH3,P0CE00
MPM1,P40364
MPO1,P25338
MPP10,P47083
MPP6,P53725
MPS1,P54199
MPS2,P53159
MPS3,P47069
MPT5,P39016
MRC1,P25588
MRD1,Q06106
MRE11,P32829
MRF1,P30775
MRH1,Q12117
MRH4,P53166
MRI1,Q06489
MRK1,P50873
MRL1,Q06815
MRM1,P25270
MRM2,P53123
MRN1,Q08925
MRP1,P10662
MRP10,O75012
MRP13,P12686
MRP17,P28778
MRP2,P10663
MRP20,P32387
MRP21,P38175
MRP49,P32388
MRP4,P32902
MRP51,Q02950
MRP7,P12687
MRP8,P35719
MRPL1,Q04599
MRPL10,P36520
MRPL11,P36521
MRPL13,Q02204
MRPL15,P36523
MRPL16,P38064
MRPL17,P36528
MRPL19,P53875
MRPL20,P22354
MRPL22,P53881
MRPL23,Q12487
MRPL24,P36525
MRPL25,P23369
MRPL27,P36526
MRPL28,P36527
MRPL3,P36516
MRPL31,P14063
MRPL32,P25348
MRPL33,P20084
MRPL35,Q06678
MRPL36,P36531
MRPL37,P36532
MRPL38,P35996
MRPL39,P36533
MRPL4,P36517
MRPL40,P36534
MRPL44,P19956
MRPL49,P40858
MRPL50,P53724
MRPL51,Q06090
MRPL6,P32904
MRPL7,P36519
MRPL8,P22353
MRPL9,P31334
MRPS12,P53732
MRPS16,Q02608
MRPS17,Q03246
MRPS18,P42847
MRPS28,P21771
MRPS35,P53292
MRPS5,P33759
MRPS8,Q03799
MRPS9,P38120
MRS1,P07266
MRS2,Q01926
MRS3,P10566
MRS4,P23500
MRS6,P32864
MRT4,P33201
MRX1,P40050
MRX10,Q05648
MRX11,Q03079
MRX12,P47084
MRX3,P38172
MRX4,Q12467
MRX5,P47007
MRX6,P48564
MRX7,P53869
MRX8,Q05473
MRX9,Q07349
MSA1,Q08471
MSA2,P36157
MSB1,P21339
MSB2,P32334
MSB3,P48566
MSB4,Q12317
MSC1,Q03104
MSC2,Q03455
MSC3,Q05812
MSC6,Q08818
MSC7,P38694
MSD1,P15179
MSE1,P48525
MSF1,P08425
MSG5,P38590
MSH1,P25846
MSH2,P25847
MSH3,P25336
MSH4,P40965
MSH5,Q12175
MSH6,Q03834
MSI1,P13712
MSK1,P32048
MSL1,P40567
MSL5,Q12186
MSM1,P22438
MSN1,P22148
MSN2,P33748
MSN4,P33749
MSN5,P52918
MSO1,P53604
MSP1,P28737
MSR1,P38714
MSS11,Q03825
MSS116,P15424
MSS18,P08593
MSS1,P32559
MSS2,P40990
MSS4,P38994
MSS51,P32335
MST1,P07236
MST27,P53176
MST28,P39552
MSW1,P04803
MSY1,P48527
MTC1,P47018
MTC2,P34246
MTC3,P53077
MTC4,P38335
MTC5,Q03897
MTC6,P38849
MTC7,P32633
MTD1,Q02046
MTF1,P14908
MTF2,P10849
MTG1,Q03151
MTG2,P38860
MTH1,P35198
MTL1,P53214
MTM1,P53320
MTO1,P53070
MTQ1,P53944
MTQ2,Q03920
MTR10,Q99189
MTR2,P34232
MTR3,P48240
MTR4,P47047
MTW1,P39731
MUB1,Q03162
MUD1,P32605
MUD2,P36084
MUK1,Q02866
MUM2,P38236
MUM3,Q08750
MUP1,P50276
MUP3,P38734
MUS81,Q04149
MVB12,P42939
MVD1,P32377
MVP1,P40959
MXR1,P40029
MXR2,P25566
MYO1,P08964
MYO2,P19524
MYO3,P36006
MYO4,P32492
MYO5,Q04439
MZM1,Q03429
NAB2,P32505
NAB3,P38996
NAB6,Q03735
NAF1,P53919
NAG1,Q8TGN9
NAM2,P11325
NAM7,P30771
NAM8,Q00539
NAM9,P27929
NAN1,Q02931
NAP1,P25293
NAR1,P23503
NAS2,P40555
NAS6,P50086
NAT1,P12945
NAT2,P37293
NAT3,Q06504
NAT4,Q04751
NAT5,Q08689
NBA1,Q08229
NBL1,Q3E7Y6
NBP1,P52919
NBP2,Q12163
NBP35,P52920
NCA2,Q12374
NCA3,P46955
NCB2,Q92317
NCE101,Q02820
NCE102,Q12207
NCE103,P53615
NCL1,P38205
NCP1,P16603
NCR1,Q12200
NCS2,P53923
NCS6,P53088
NCW2,Q05777
NDC1,P32500
NDC80,P40460
NDD1,Q08887
NDE1,P40215
NDE2,Q07500
NDI1,P32340
NDJ1,Q12366
NDL1,Q06568
NDT80,P38830
NEJ1,Q06148
NEL1,P38769
NEM1,P38757
NEO1,P40527
NET1,P47035
NEW1,Q08972
NFI1,Q12216
NFS1,P25374
NFT1,P0CE68
NFU1,P32860
NGG1,P32494
NGL1,Q08213
NGL2,Q03264
NGL3,Q03210
NGR1,P32831
NHA1,Q99271
NHP10,Q03435
NHP2,P32495
NHP6A,P11632
NHP6B,P11633
NHX1,Q04121
NIC96,P34077
NIF3,P53081
NIP1,P32497
NIP100,P33420
NIP7,Q08962
NIS1,P53939
NIT1,P40447
NIT2,P47016
NIT3,P49954
NKP1,Q12493
NKP2,Q06162
NMA1,Q06178
NMA111,P53920
NMA2,P53204
NMD2,P38798
NMD3,P38861
NMD4,Q12129
NMD5,P46970
NMT1,P14743
NNF1,P47149
NNF2,P53253
NNK1,P36003
NNR1,P40165
NNR2,P36059
NNT1,Q05874
NOB1,Q08444
NOC2,P39744
NOC3,Q07896
NOC4,Q06512
NOG1,Q02892
NOG2,P53742
NOP10,Q6Q547
NOP12,Q08208
NOP13,P53883
NOP14,Q99207
NOP15,P53927
NOP16,P40007
NOP19,P53317
NOP1,P15646
NOP2,P40991
NOP4,P37838
NOP53,Q12080
NOP56,Q12460
NOP58,Q12499
NOP6,Q07623
NOP7,P53261
NOP8,Q08287
NOP9,P47077
NOT3,P06102
NOT5,Q12514
NPA3,P47122
NPC2,Q12408
NPL3,Q01560
NPL4,P33755
NPL6,P32832
NPP1,P25353
NPP2,P39997
NPR1,P22211
NPR2,P39923
NPR3,P38742
NPT1,P39683
NPY1,P53164
NQM1,P53228
NRD1,P53617
NRG1,Q03125
NRG2,P38082
NRK1,P53915
NRM1,P53718
NRP1,P32770
NRT1,Q08485
NSA1,P53136
NSA2,P40078
NSE1,Q07913
NSE3,Q05541
NSE4,P43124
NSE5,Q03718
NSG1,P38837
NSG2,P53898
NSI1,Q12457
NSL1,Q12143
NSP1,P14907
NSR1,P27476
NST1,P53935
NTA1,P40354
NTC20,P38302
NTE1,Q04958
NTF2,P33331
NTG1,P31378
NTG2,Q08214
NTH1,P32356
NTH2,P35172
NTO1,Q12311
NTR2,P36118
NUC1,P08466
NUD1,P32336
NUF2,P33895
NUG1,P40010
NUM1,Q00402
NUP1,P20676
NUP100,Q02629
NUP116,Q02630
NUP120,P35729
NUP133,P36161
NUP145,P49687
NUP157,P40064
NUP159,P40477
NUP170,P38181
NUP188,P52593
NUP192,P47054
NUP2,P32499
NUP42,P49686
NUP49,Q02199
NUP53,Q03790
NUP57,P48837
NUP60,P39705
NUP82,P40368
NUP84,P52891
NUP85,P46673
NUR1,Q12066
NUS1,Q12063
NUT1,P53114
NUT2,Q06213
NVJ1,P38881
NVJ2,Q06833
NYV1,Q12255
OAC1,P32332
OAF1,P39720
OAF3,P36023
OAR1,P35731
OAZ1,Q02803
OCA1,P50946
OCA2,P53949
OCA4,P25366
OCA5,P38738
OCA6,Q12454
OCH1,P31755
OCT1,P35999
ODC1,Q03028
ODC2,Q99297
OGG1,P53397
OKP1,P53298
OLA1,P38219
OLE1,P21147
OLI1,P61829
OM14,P38325
OM45,P16547
OMA1,P36163
OMS1,Q06668
OPI1,P21957
OPI10,Q08202
OPI11,A0A023PZI1
OPI3,P05375
OPI6,Q07521
OPI7,P87286
OPI8,P36129
OPI9,O94084
OPT1,P40897
OPT2,Q06593
OPY1,P38271
OPY2,Q06810
ORC1,P54784
ORC2,P32833
ORC3,P54790
ORC4,P54791
ORC5,P50874
ORC6,P38826
ORM1,P53224
ORM2,Q06144
ORT1,Q12375
OSH2,Q12451
OSH3,P38713
OSH6,Q02201
OSH7,P38755
OSM1,P21375
OST1,P41543
OST2,P46964
OST3,P48439
OST4,Q99380
OST5,Q92316
OST6,Q03723
OSW1,Q08692
OSW2,Q12202
OSW5,P40219
OSW7,P43611
OTU1,P43558
OTU2,P38747
OXA1,P39952
OXP1,P28273
OXR1,Q08952
OYE2,Q03558
OYE3,P41816
PAA1,Q12447
PAB1,P04147
PAC10,P48363
PAC11,P40960
PAC1,P39946
PAC2,P39937
PAD1,P33751
PAF1,P38351
PAH1,P32567
PAI3,P01094
PAL1,Q05518
PAM1,P37304
PAM16,P42949
PAM17,P36147
PAM18,Q07914
PAN1,P32521
PAN2,P53010
PAN3,P36102
PAN5,P38787
PAN6,P40459
PAP1,P29468
PAP2,P53632
PAR32,Q12515
PAT1,P25644
PAU1,P0CE88
PAU10,Q03050
PAU11,P0CE93
PAU12,P53343
PAU13,P38725
PAU14,P0CE89
PAU15,P40585
PAU16,P35994
PAU17,Q12370
PAU18,P0CE91
PAU19,P0CE85
PAU2,P32612
PAU20,Q08322
PAU21,P0CE86
PAU22,P0CE87
PAU23,Q07987
PAU24,P38155
PAU3,P25610
PAU4,P53427
PAU5,P43575
PAU6,P0CE90
PAU7,P39545
PAU8,P0CE92
PAU9,Q3E770
PBA1,Q05778
PBI2,P0CT04
PBN1,P25580
PBP1,P53297
PBP2,P38151
PBP4,Q07362
PBS2,P08018
PBY1,P38254
PCA1,P38360
PCC1,Q3E833
PCD1,Q12524
PCF11,P39081
PCH2,P38126
PCI8,P40512
PCK1,P10963
PCL10,P53124
PCL1,P24867
PCL2,P25693
PCL5,P38794
PCL6,P40038
PCL7,P40186
PCL8,Q08966
PCL9,Q12477
PCM1,P38628
PCP1,P53259
PCS60,P38137
PCT1,P13259
PDA1,P16387
PDB1,P32473
PDC1,P06169
PDC2,P32896
PDC5,P16467
PDC6,P26263
PDE1,P22434
PDE2,P06776
PDH1,Q12428
PDI1,P17967
PDR10,P51533
PDR11,P40550
PDR12,Q02785
PDR15,Q04182
PDR16,P53860
PDR17,P53844
PDR18,P53756
PDR1,P12383
PDR3,P33200
PDR5,P33302
PDR8,Q06149
PDS1,P40316
PDS5,Q04264
PDX1,P16451
PDX3,P38075
PEA2,P40091
PEF1,P53238
PEP12,P32854
PEP1,P32319
PEP3,P27801
PEP4,P07267
PEP5,P12868
PEP7,P32609
PEP8,P40335
PER1,P25625
PER33,Q12144
PES4,P39684
PET10,P36139
PET100,P38958
PET111,P08468
PET112,P33893
PET117,Q02771
PET122,P10355
PET123,P17558
PET127,P32606
PET130,P47065
PET18,P25362
PET191,Q02772
PET20,Q99373
PET309,P32522
PET494,P07390
PET54,P10834
PET8,P38921
PET9,P18239
PEX10,Q05568
PEX11,Q12462
PEX12,Q04370
PEX13,P80667
PEX14,P53112
PEX15,Q08215
PEX17,P40155
PEX18,P38855
PEX19,Q07418
PEX1,P24004
PEX21,P50091
PEX22,P39718
PEX25,Q02969
PEX27,Q08580
PEX28,P38848
PEX29,Q03370
PEX2,P32800
PEX30,Q06169
PEX31,P53203
PEX32,P38292
PEX34,P25584
PEX3,P28795
PEX4,P29340
PEX5,P35056
PEX6,P33760
PEX7,P39108
PEX8,P53248
PEX9,Q04364
PFA3,P42836
PFA4,Q12006
PFA5,Q03289
PFD1,P46988
PFF1,P38244
PFK1,P16861
PFK2,P16862
PFK26,P40433
PFK27,Q12471
PFS1,P38872
PFS2,P42841
PFY1,P07274
PGA1,P53896
PGA2,P53903
PGA3,Q12746
PGC1,Q08959
PGD1,P40356
PGI1,P12709
PGK1,P00560
PGM1,P33401
PGM2,P37012
PGS1,P25578
PGU1,P47180
